Job Title,Company,Location,Expiry Date,Description
Receptionist/ PA to the Managing Director,Power Systems Africa,Expires 22 Apr 2025,Full Time,Power Systems Africa is looking for a Dynamic Receptionist who doubles as a PA to the Managing Director on a full time basis.
"Baseline Assessment for the project, “Integrated Emergency Response for El Niño Drought Affected Communities in Zimbabwe,",Oxfam,Expires 25 Apr 2025,Full Time,"Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Across regions, from the local to the global, we work with people to bring change that lasts. OVERVIEW Title and brief description of the assignment Baseline Assessment for the project, “Integrated Emergency Response for …"
Call for Supplier`s Registration for the period (January 2026 to December 2028),MeDRA - Methodist Development and Relief Agency,Expires 09 May 2025,Full Time,Methodist Development and Relief Agency (MeDRA) Call for Supplier`s Registration for the period (January 2026 to December 2028) ABOUT MEDRA MeDRA is a faith-based local NGO which is part of the mission of The Methodist Church in Zimbabwe whose mandate is to implement Humanitarian and Developmental programmes that promotes socio-economic …
Administration Assistant Intern,Traffic Safety Council of Zimbabwe,Expires 23 Apr 2025,Full Time,TSCZ is seeking an Administration Assistant Intern.
IT and Support Graduate trainee,Lightguard Security,Expires 21 Apr 2025,Full Time,"We are looking for a highly motivated and dynamic IT Graduate Trainee with a Business Management background, IT support knowledge, and an interest in sales and marketing. This role is ideal for someone eager to expand their career by combining IT expertise with sales and marketing responsibilities."
Automachanic,Lightguard Security,Expires 21 Apr 2025,Full Time,"5 years experienced auto mechanic responsible to attend, diagnose, repair, maintain and report all auto mechanic issues within our organisation"
Mechanic,Lightguard Security,Expires 21 Apr 2025,Full Time,"5 years experienced Mechanic who will be responsible to attend, maintain, repair and diagnose our company vehicles for smooth running of the business"
Developers Wanted for Global Opportunities,N/A,Expires 15 May 2025,Part Time,Are you a talented developer eager to work on cutting-edge global projects? We partner with international companies to connect skilled developers like you with high-impact roles that match your expertise and ambitions.
Management Accountant,N/A,Expires 22 Apr 2025,Full Time,Management Accountant is there to analyse key financial information to provide feedback that will aid managerial planning and organization decision making that will ensure future growth and profitability of the company. Part of the Management Accountant’s role is to reduce the operational and production costs for the business by identifying …
Security Guard Patrol Officer,Defcorp (Pvt) Ltd,Expires 23 Apr 2025,Full Time,"Location: Harare Job Type: Full-Time Reports To: Operations Manager Job Summary: We are looking for a proactive and reliable Security Guard Patrol Officer to join our operations team. This role involves patrolling assigned sites using a motorbike, overseeing guard deployments, managing shift schedules, and ensuring that all guards are present, …"
